Problem Size, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
100000,8211,15.4,15.6,12.8,12.4
100000,5465,9.6,9.2,6.2,0.0
100000,9732,9.4,3.0,6.2,3.2
100000,9789,15.4,15.6,12.6,3.2
100000,5355,6.4,12.2,15.6,0.0
100000,9035,15.8,3.2,3.0,3.2
100000,3920,12.4,6.2,9.6,6.2
100000,2800,16.0,15.4,15.6,12.6
100000,6178,12.4,12.4,9.4,9.4
100000,11872,9.2,6.4,3.2,0.0
100000,616,9.6,12.2,12.6,9.4
100000,258,15.4,15.6,12.8,12.4
100000,604,9.4,9.4,9.6,0.0
100000,7608,9.4,6.0,9.6,3.2
100000,2490,9.2,9.6,9.2,6.2
100000,7989,18.8,15.4,19.2,12.2
100000,1574,12.8,9.4,9.4,6.2
100000,5833,16.0,9.4,12.2,9.4
100000,12,9.2,9.2,9.6,3.2
100000,1501,12.2,12.8,15.4,9.4
100000,5992,15.6,12.4,15.8,12.6
100000,5896,15.6,15.8,12.4,3.0
100000,6355,19.0,15.4,15.8,9.4
100000,12578,12.8,15.4,15.6,6.2
100000,7508,15.6,16.0,12.4,12.4
100000,4506,15.4,15.4,15.6,12.8
100000,6432,9.4,9.6,9.2,6.2
100000,1592,12.4,12.6,12.4,9.4
100000,10904,16.0,15.6,15.4,12.6
100000,5299,15.6,15.6,12.8,9.2
100000,10963,18.6,15.6,15.6,3.0
100000,10572,15.8,15.6,12.4,3.0
100000,12100,3.2,3.0,12.4,6.2
100000,6235,14.4,12.8,15.4,6.2
100000,4714,12.2,12.6,16.0,0.0
100000,4698,16.0,15.4,15.6,6.2
100000,7049,15.6,12.4,16.0,12.4
100000,2479,16.0,15.4,15.6,12.6
100000,584,15.4,15.6,16.0,12.4
100000,4546,9.6,15.4,15.6,3.2
100000,1086,15.4,15.6,12.4,12.8
100000,3199,12.4,9.2,9.6,6.2
100000,9378,12.6,15.4,15.6,9.4
100000,2871,3.2,9.6,12.4,3.2
100000,2928,16.0,12.6,12.2,6.2
100000,2465,15.6,15.4,16.0,12.4
100000,899,12.4,12.8,6.2,6.2
100000,7714,6.2,9.4,15.8,3.2
100000,1099,12.4,9.6,6.2,6.2
100000,8736,15.6,15.4,12.4,9.6
100000,976,15.4,12.8,12.4,9.4
100000,11333,9.2,6.2,6.2,3.2
100000,6170,3.2,9.2,9.4,3.0
100000,9451,15.4,15.6,16.0,12.4
100000,6962,15.6,15.4,12.4,6.4
100000,11471,16.0,15.4,15.4,12.4
100000,8933,15.6,12.4,9.6,6.2
100000,10278,15.6,15.4,15.6,3.2
100000,7030,16.0,15.4,12.4,3.2
100000,1759,15.6,12.4,12.8,12.4
100000,10329,15.6,12.4,15.6,6.2
100000,1367,15.6,16.0,15.6,12.4
100000,6462,18.6,15.6,15.4,9.4
100000,9851,12.4,9.4,6.4,6.2
100000,597,9.4,12.8,12.4,6.2
100000,10580,15.6,15.4,12.4,6.4
100000,2546,12.6,16.0,15.4,3.2
100000,1629,16.0,15.4,12.4,9.4
100000,449,9.4,12.2,9.4,3.2
100000,3470,15.4,12.8,15.4,9.2
100000,3457,15.6,12.6,12.4,6.2
100000,6732,15.6,15.8,15.6,15.4
100000,2709,15.4,15.6,15.6,9.6
100000,9957,16.0,15.6,12.4,12.4
100000,5108,9.2,12.6,16.0,0.0
100000,924,12.4,6.4,9.4,3.2
100000,1369,15.4,15.6,15.4,12.8
100000,10085,9.4,6.2,3.2,3.0
100000,10707,15.6,3.2,6.2,3.0
100000,10031,9.4,15.4,16.0,3.0
100000,7056,12.8,15.4,15.6,9.4
100000,2865,12.2,15.6,15.8,6.2
100000,2563,9.6,12.8,9.6,3.0
100000,1929,6.2,9.6,6.0,3.2
100000,5179,12.6,12.2,16.0,6.2
100000,4519,16.0,12.4,15.6,15.6
100000,7312,15.6,6.2,3.0,3.2
100000,10036,15.6,15.4,15.6,9.6
100000,8563,16.0,15.4,15.6,9.4
100000,8590,15.6,15.8,15.6,15.4
100000,10819,15.6,15.6,16.0,15.4
100000,1253,16.0,15.6,15.4,6.2
100000,7302,15.4,15.6,15.8,12.4
100000,3090,12.6,9.4,6.2,3.2
250000,1900,65.6,65.6,68.6,31.2
250000,15966,65.8,62.6,50.0,28.4
250000,24048,69.0,69.0,69.0,31.2
250000,15460,59.4,56.4,53.2,21.8
250000,24482,62.4,49.8,47.0,15.6
250000,26832,65.6,59.4,53.0,25.4
250000,10679,62.4,56.4,53.2,25.2
250000,3514,56.0,50.2,53.2,21.8
250000,29333,59.6,56.2,56.6,25.2
250000,13925,65.6,56.4,53.2,28.4
250000,3471,59.4,59.4,46.8,18.8
250000,28802,62.6,59.4,53.2,28.2
250000,3809,62.6,56.2,53.2,18.4
250000,4835,59.2,56.4,50.2,18.6
250000,29642,62.4,53.2,50.0,18.6
250000,12742,59.4,56.6,53.2,21.8
250000,15098,62.2,56.4,49.8,25.2
250000,16394,62.2,56.2,50.0,28.0
250000,2599,59.4,53.2,46.8,25.0
250000,5607,56.0,56.4,50.0,21.8
250000,7852,59.6,59.8,59.2,28.2
250000,10760,62.4,56.2,50.0,22.0
250000,4043,53.0,53.2,50.2,28.2
250000,8799,56.4,56.2,46.8,28.0
250000,20130,59.4,59.6,52.8,25.0
250000,12136,56.2,52.8,53.2,25.2
250000,8829,59.4,53.2,53.0,25.0
250000,11166,59.2,50.2,46.8,28.2
250000,30554,69.2,59.4,56.4,28.0
250000,25116,62.6,56.4,50.0,21.8
250000,28040,62.8,53.0,50.0,28.0
250000,25891,65.6,65.8,62.6,28.4
250000,19848,62.8,50.0,47.0,18.6
250000,152,59.4,53.2,50.2,18.8
250000,2408,59.4,50.0,53.2,25.0
250000,9011,62.6,56.2,50.0,15.8
250000,7161,56.2,56.0,50.2,21.6
250000,28281,66.0,65.8,50.0,22.0
250000,20834,62.8,53.0,50.0,21.8
250000,6422,59.6,50.0,49.8,28.2
250000,29149,65.6,56.4,46.6,21.8
250000,30876,59.6,56.4,47.0,25.0
250000,8912,56.0,53.2,50.0,18.6
250000,28852,59.4,56.2,53.2,21.8
250000,1811,56.2,56.6,50.0,25.0
250000,19642,56.2,56.2,50.0,22.2
250000,9647,59.2,62.4,49.8,22.0
250000,22509,59.6,59.4,53.2,22.2
250000,3718,59.4,53.0,50.0,21.8
250000,12267,59.4,50.0,47.0,18.8
250000,12497,59.2,56.2,49.8,25.2
250000,860,56.4,59.0,53.4,21.8
250000,3415,62.6,59.2,53.2,28.2
250000,16786,56.2,56.4,49.8,28.4
250000,11948,65.4,59.4,59.6,28.0
250000,8913,59.6,53.2,47.0,22.0
250000,24348,71.8,65.8,59.4,28.2
250000,22599,65.6,62.2,62.8,28.0
250000,28983,62.6,53.0,50.0,15.6
250000,1866,59.2,62.6,50.0,25.2
250000,29091,62.6,59.2,53.0,31.2
250000,20457,62.2,59.6,56.2,25.2
250000,10271,53.0,50.0,46.8,18.8
250000,13066,62.4,56.0,50.0,25.0
250000,5878,56.4,53.2,53.2,19.0
250000,14756,62.8,59.6,53.2,25.2
250000,6578,56.2,59.4,47.0,18.6
250000,13654,62.6,59.2,49.8,18.6
250000,24039,62.6,56.4,50.0,21.8
250000,19972,62.8,59.2,50.0,25.2
250000,29922,59.2,59.4,56.4,28.0
250000,21312,53.2,53.4,47.0,18.8
250000,2992,56.4,53.0,53.2,28.0
250000,29385,65.2,56.0,53.2,25.2
250000,10786,56.4,53.0,47.0,19.0
250000,25789,65.6,59.4,56.4,28.2
250000,10624,65.6,59.2,59.4,18.6
250000,27210,62.6,50.2,50.0,18.6
250000,19041,65.8,56.4,50.0,18.8
250000,23699,62.4,53.0,56.4,28.2
250000,8069,56.4,53.0,50.2,18.8
250000,13377,56.4,56.0,50.2,18.6
250000,20695,62.4,53.2,49.6,28.2
250000,29858,62.2,56.4,53.2,28.0
250000,29256,65.2,56.2,50.0,28.4
250000,30217,68.6,59.2,53.2,25.2
250000,24409,65.6,56.4,59.2,21.8
250000,24984,62.4,50.0,53.2,24.8
250000,3572,53.2,53.0,50.2,18.6
250000,26442,65.4,53.2,49.8,22.0
250000,8628,59.8,56.2,56.4,25.0
250000,10913,59.6,56.2,49.8,28.0
250000,16440,59.4,56.4,49.8,22.0
250000,808,50.0,56.0,53.2,18.6
250000,15765,56.6,53.0,53.2,24.8
250000,16029,59.8,50.0,53.2,25.0
250000,4610,56.0,50.0,49.8,25.2
250000,20790,65.8,56.4,56.2,28.2
250000,3652,56.4,56.4,53.2,25.2
250000,21841,62.6,53.2,50.0,15.8
500000,179,134.6,122.0,134.2,47.0
500000,25153,125.0,125.0,137.6,46.6
500000,46954,125.0,125.0,134.6,46.6
500000,36233,125.0,121.8,131.2,43.8
500000,14905,122.2,121.8,131.2,40.8
500000,48070,128.2,125.0,128.2,47.0
500000,33680,122.0,125.2,137.4,47.0
500000,7319,115.8,122.0,131.2,47.0
500000,56801,128.2,128.0,128.2,43.8
500000,34660,121.8,121.8,128.2,47.0
500000,25829,125.0,121.8,134.4,43.6
500000,20876,121.8,121.8,131.6,46.8
500000,17708,121.8,122.2,131.0,43.8
500000,51105,125.0,125.0,141.0,47.0
500000,3610,118.8,115.6,131.2,44.0
500000,27305,118.6,118.8,128.0,43.8
500000,7015,121.8,118.8,134.4,43.4
500000,60352,125.2,128.0,128.0,43.8
500000,19776,115.6,115.6,128.0,40.6
500000,17182,121.8,125.0,137.4,43.8
500000,21155,121.8,121.8,134.4,46.8
500000,54622,131.0,125.0,137.8,46.8
500000,42646,124.8,121.8,131.4,44.0
500000,49207,125.0,121.8,137.2,37.2
