Bound, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
100000,2463170,1.838508368E8,1.704641872E8,1.10671864E8,5.97273088E7
100000,236702,9.06405184E7,8.87553056E7,6.39880864E7,1.23184848E7
100000,1300565,1.394351584E8,1.334875184E8,9.28677312E7,4.21088928E7
100000,735811,1.122082128E8,1.045219728E8,7.45702E7,2.68449456E7
100000,1091780,1.269507744E8,1.212814176E8,8.51238704E7,3.474376E7
100000,1707188,1.52300128E8,1.429505152E8,9.57741872E7,4.5491584E7
100000,2361884,1.81213616E8,1.679549856E8,1.104709536E8,5.97030736E7
100000,2101768,1.750078928E8,1.644748976E8,1.097004704E8,5.89078688E7
100000,1308850,1.405154896E8,1.343331408E8,9.2747728E7,4.21108672E7
100000,621986,1.060118384E8,1.024799984E8,7.3875624E7,2.24280928E7
100000,706195,1.114497504E8,1.054939856E8,7.66548208E7,2.6864064E7
100000,1930987,1.683777936E8,1.58480336E8,1.085458592E8,5.65076816E7
100000,2194583,1.769830576E8,1.635492512E8,1.083375904E8,5.8428688E7
100000,682578,1.085803712E8,1.059702816E8,7.70561712E7,2.69774992E7
100000,1369284,1.409133184E8,1.332697216E8,9.23910096E7,4.210484E7
100000,1334779,1.410045408E8,1.339480656E8,9.23082272E7,4.21096816E7
100000,1453163,1.438925584E8,1.36596496E8,9.35603696E7,4.42117808E7
100000,407102,9.78987344E7,9.40920464E7,6.8696328E7,2.16136432E7
100000,711561,1.12039736E8,1.051524448E8,7.65167216E7,2.684364E7
100000,435968,1.009600912E8,9.68668288E7,6.79232912E7,2.15887872E7
100000,1977232,1.710801616E8,1.597850096E8,1.077822704E8,5.68002416E7
100000,1977361,1.7025252E8,1.607324288E8,1.074961216E8,5.67983664E7
100000,419199,9.80825776E7,9.75719248E7,6.8535768E7,1.91203824E7
100000,1487826,1.46082784E8,1.361389216E8,9.37643488E7,4.33537408E7
100000,2363138,1.816901648E8,1.684782272E8,1.10359248E8,5.97056096E7
100000,894651,1.2134888E8,1.17246304E8,8.16468944E7,3.23815328E7
100000,2196043,1.771033152E8,1.6423296E8,1.0876356E8,5.84520896E7
100000,2281494,1.782610256E8,1.678603984E8,1.106685744E8,5.84687728E7
100000,1889552,1.689773744E8,1.57470392E8,1.078653504E8,5.65112352E7
100000,327750,9.54675744E7,8.99903248E7,6.82956896E7,1.84500112E7
100000,501964,1.024574224E8,9.8319304E7,7.06703616E7,2.16684752E7
100000,1075395,1.26619952E8,1.210963296E8,8.17425776E7,3.474176E7
100000,2218523,1.762688016E8,1.660664688E8,1.101179456E8,5.84097088E7
100000,1154815,1.287574928E8,1.223668096E8,8.47209328E7,3.47656592E7
100000,412338,9.7709128E7,9.37418768E7,6.84893328E7,2.15725248E7
100000,1076797,1.266650752E8,1.210486976E8,8.06617232E7,3.47451104E7
100000,2376535,1.809743264E8,1.687524688E8,1.103175936E8,6.05777376E7
100000,207764,8.94856944E7,8.87298832E7,6.63208496E7,1.23360144E7
100000,1950489,1.688912384E8,1.605665568E8,1.079544304E8,5.8902088E7
100000,1828760,1.660813424E8,1.5764064E8,1.067253968E8,5.65156736E7
100000,643618,1.08228576E8,1.061642816E8,7.25006992E7,2.24864848E7
100000,1552892,1.481162528E8,1.399435584E8,9.46045728E7,4.337464E7
100000,1415858,1.421095024E8,1.369701744E8,9.357784E7,4.42126528E7
100000,1935228,1.692485344E8,1.5908204E8,1.08635504E8,5.65071056E7
100000,1082097,1.271033968E8,1.216142224E8,8.16590064E7,3.47609024E7
100000,2090540,1.731267824E8,1.621619696E8,1.096095712E8,5.89170384E7
100000,2440327,1.849154128E8,1.712556608E8,1.096114912E8,5.97329408E7
100000,1566905,1.476552016E8,1.406761536E8,9.45294624E7,4.3374632E7
100000,2063503,1.728622928E8,1.603045456E8,1.073003088E8,5.8909496E7
100000,2474479,1.84874632E8,1.712195552E8,1.110019536E8,6.0155184E7
100000,1201282,1.300681152E8,1.21854408E8,8.40347344E7,3.47360448E7
100000,493065,1.019475744E8,9.907248E7,7.10456336E7,1.93556192E7
100000,894913,1.214463552E8,1.166118352E8,7.95393456E7,3.2369536E7
100000,933869,1.209003152E8,1.165473392E8,8.23177776E7,3.23788032E7
100000,1945347,1.686570352E8,1.605275424E8,1.078737264E8,5.88968304E7
100000,1451827,1.43856232E8,1.367930784E8,9.34912496E7,4.42308576E7
100000,591690,1.055988736E8,1.029196672E8,7.5495424E7,2.24103952E7
100000,2209800,1.761091744E8,1.652212704E8,1.087263712E8,5.84662144E7
100000,1258136,1.387380208E8,1.301631664E8,9.35593088E7,4.208388E7
100000,610162,1.054879312E8,1.03012032E8,7.56169552E7,2.23932752E7
100000,1536785,1.464584544E8,1.377538096E8,9.35304832E7,4.33624432E7
100000,557346,1.07385168E8,1.003906912E8,7.58529264E7,2.24201824E7
100000,982551,1.245177744E8,1.161535456E8,8.3743328E7,3.26016304E7
100000,1375135,1.428759552E8,1.331094256E8,9.24047936E7,4.21253488E7
100000,530870,1.001258816E8,9.84668752E7,7.25123632E7,2.17995072E7
100000,72879,8.45805888E7,8.41051232E7,6.3513472E7,1.0166368E7
100000,1724467,1.519333632E8,1.425701152E8,9.47238336E7,4.5510472E7
100000,2054321,1.721542704E8,1.599202032E8,1.07297936E8,5.89090928E7
100000,1039119,1.232782512E8,1.176745984E8,8.33170224E7,3.02887152E7
50000,460222,8.8437544E7,8.9833552E7,6.1395424E7,1.28977712E7
50000,1808859,1.417946976E8,1.351984832E8,8.37060256E7,3.4541112E7
50000,4375647,2.273586944E8,2.494532672E8,1.48301712E8,9.62925696E7
50000,1984972,1.562539696E8,1.5200368E8,9.63120736E7,4.84707392E7
50000,2182165,1.618118368E8,1.565035536E8,9.5838288E7,4.84673552E7
50000,1794011,1.399427008E8,1.3275616E8,8.67689424E7,3.57949888E7
50000,3994746,2.278336544E8,2.164509376E8,1.199730576E8,7.32305024E7
50000,1469048,1.312988624E8,1.296159808E8,8.4589752E7,3.6033248E7
50000,4360871,2.63471192E8,2.486902432E8,1.48915232E8,9.6438472E7
50000,4836648,2.763869136E8,2.007200784E8,1.4945324E8,9.91364672E7
50000,2045273,1.610922352E8,1.51806184E8,9.4303784E7,4.60249968E7
50000,2019121,1.560772704E8,1.517367184E8,9.4402912E7,4.60240528E7
50000,2019850,1.581608416E8,1.515340448E8,9.4419704E7,4.60281504E7
50000,61009,7.34721248E7,7.26454752E7,5.4233752E7,8414683.2
50000,2853448,1.96132048E8,1.868382176E8,1.168551184E8,6.70055232E7
50000,301027,8.33505616E7,8.18752928E7,5.88681872E7,9755972.8
50000,2483113,1.706019872E8,1.631668448E8,9.63404496E7,5.0951912E7
50000,2365294,1.667330848E8,1.601688448E8,9.7558968E7,5.0938744E7
50000,2123705,1.600106032E8,1.55855592E8,9.44456784E7,4.60344E7
50000,2672596,1.758957312E8,1.673559712E8,1.006318928E8,5.0960112E7
50000,673807,9.75235152E7,9.59749152E7,6.55258592E7,1.64573552E7
50000,3771703,2.053584608E8,2.104044224E8,1.198392144E8,6.95244752E7
50000,660281,9.67256096E7,9.54311424E7,6.71878912E7,1.63244352E7
50000,918879,1.095313824E8,1.070111648E8,7.30914832E7,2.63617872E7
50000,965927,1.116316272E8,1.074131424E8,7.15824448E7,2.6361448E7
50000,3250660,1.931413952E8,1.975927328E8,1.173264752E8,7.10039472E7
50000,3602365,2.01648536E8,2.06261336E8,1.195668496E8,7.14138576E7
50000,3482434,2.12789632E8,2.0206748E8,1.18254672E8,6.89718528E7
50000,2415502,1.693472752E8,1.612411392E8,9.74544256E7,5.07215408E7
50000,3988664,1.539635296E8,1.494405792E8,1.213295552E8,7.29358432E7
50000,673107,9.96080672E7,9.58614544E7,6.8779184E7,1.62099456E7
50000,518806,9.2298112E7,8.73431504E7,6.13900912E7,1.21358464E7
50000,2963778,1.740421392E8,1.902716032E8,1.166929872E8,6.58107648E7
50000,585066,9.60482256E7,9.45474624E7,6.69841888E7,1.9495792E7
50000,2635200,1.742595296E8,1.660571792E8,9.9317352E7,4.8877016E7
50000,4917729,2.146189088E8,2.011384368E8,1.494362432E8,1.012407616E8
50000,1530397,1.34705192E8,1.2752804E8,8.49648736E7,3.36403344E7
50000,2665003,1.7465772E8,1.674368288E8,9.87399168E7,4.98961968E7
50000,2362773,1.670217104E8,1.586498464E8,9.75320144E7,4.98680288E7
50000,4826066,2.124881504E8,1.981681872E8,1.4774032E8,1.013154096E8
50000,1136465,1.152008208E8,1.112823312E8,7.35706128E7,2.62752288E7
50000,17556,7.22576064E7,7.1473688E7,5.63069424E7,4256124.8
50000,3020495,1.507095456E8,1.772416864E8,1.155087072E8,6.94492912E7
50000,2338409,1.648936608E8,1.6041796E8,9.59297344E7,4.83515328E7
50000,4749806,2.112184368E8,2.120275632E8,1.48371624E8,1.001726288E8
50000,3180342,1.462965856E8,1.5844232E8,1.17146408E8,6.6829544E7
50000,4114595,1.83342632E8,1.89823448E8,1.456375264E8,9.96643312E7
50000,1585405,1.35524096E8,1.311690064E8,8.290352E7,3.50534976E7
50000,4286119,1.843387776E8,1.817639872E8,1.473540768E8,9.78580288E7
50000,1999053,1.581599744E8,1.511762944E8,9.63954688E7,4.5133224E7
50000,648414,9.67310224E7,9.40225232E7,6.61397376E7,1.61612208E7
50000,3223375,1.48711192E8,1.960132208E8,1.183004464E8,7.01673296E7
50000,1797132,1.390695152E8,1.337101424E8,8.3853024E7,3.34756592E7
50000,3754293,1.583616896E8,1.515092944E8,1.193943648E8,7.03312512E7
50000,3561004,1.545950992E8,1.392069696E8,1.193552128E8,6.98376368E7
50000,1060000,1.129270816E8,1.089154144E8,7.35925232E7,2.58590384E7
50000,1142803,1.152151584E8,1.110537248E8,7.35946464E7,2.58480768E7
50000,675173,9.80901488E7,9.4684928E7,6.88385152E7,1.97894496E7
50000,4059140,1.689962128E8,1.67119776E8,1.219802272E8,7.30198272E7
50000,428066,8.70349552E7,8.63553584E7,6.19465392E7,1.25589392E7
