Problem Size, Solutions, BinarySearch, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
100000,7048,15.6,6.4,6.2,6.4,7.6
100000,2572,12.6,6.2,13.0,9.4,6.4
100000,10515,15.0,11.2,6.2,12.4,12.8
100000,5344,15.6,3.2,4.4,9.6,9.2
100000,8978,18.8,7.4,9.6,15.4,15.8
100000,10941,19.0,12.2,6.4,10.8,12.6
100000,7344,11.8,12.4,15.6,12.4,9.4
100000,4603,12.4,12.6,10.8,6.0,9.4
100000,8104,13.0,6.8,6.2,9.2,6.4
100000,10738,18.4,6.4,3.2,9.4,12.2
100000,11401,18.6,6.4,8.0,9.2,9.6
100000,690,12.4,9.4,6.2,15.2,12.6
100000,2420,10.2,6.2,9.4,6.2,3.2
100000,11052,15.8,9.2,6.2,9.6,12.4
100000,6843,12.2,16.4,3.6,6.2,0.0
100000,1032,9.0,9.6,6.2,6.2,6.4
100000,11748,15.6,9.0,10.8,9.2,9.6
100000,3026,13.0,9.6,9.4,3.2,3.2
100000,3507,13.6,6.4,6.4,12.6,9.2
100000,8725,13.8,6.2,9.6,6.2,9.4
100000,4698,10.8,9.2,6.4,6.2,6.2
100000,11176,18.8,3.0,3.2,3.0,1.6
100000,10900,12.6,9.2,11.2,9.4,3.2
100000,12060,15.8,9.4,15.6,15.8,12.2
100000,935,15.6,12.6,6.2,3.0,7.6
100000,2681,9.6,6.0,4.4,9.4,9.2
100000,8435,16.2,10.0,12.2,9.6,3.0
100000,1624,12.6,9.4,6.8,3.4,6.4
100000,11388,15.6,9.4,9.4,9.2,6.4
100000,2422,6.2,9.6,12.4,12.6,7.0
100000,11294,14.0,9.4,6.2,9.6,9.2
100000,5116,12.8,3.2,6.2,6.4,9.6
100000,5105,9.8,9.4,9.4,15.8,12.4
100000,3972,9.4,6.4,9.2,9.4,3.0
100000,266,6.4,3.2,6.2,6.2,10.6
100000,9657,14.0,6.2,9.6,9.6,6.0
100000,10116,16.0,12.4,6.4,9.4,8.2
100000,5709,9.2,3.2,9.6,9.2,13.4
100000,8113,12.8,3.2,9.2,9.4,13.0
100000,8356,9.2,9.4,9.4,12.4,9.6
100000,5485,12.4,11.4,9.4,9.2,6.2
100000,6619,6.2,6.2,10.0,6.6,9.4
100000,6363,12.4,6.4,9.2,7.6,0.0
100000,3823,9.0,9.6,9.4,12.6,11.4
100000,6133,9.4,9.2,9.4,9.4,6.8
100000,8482,15.4,13.4,9.4,9.2,9.2
100000,60,9.6,10.6,9.4,12.6,6.4
100000,2815,15.6,3.2,8.0,9.4,12.6
100000,3709,15.8,9.4,6.2,11.6,6.0
100000,3105,6.6,6.2,6.2,6.4,9.8
100000,1067,9.4,6.0,9.6,12.4,12.6
100000,4738,8.0,9.4,12.4,9.4,6.2
100000,8107,11.0,3.0,0.0,9.6,9.4
100000,11002,15.4,9.4,6.2,9.4,10.4
100000,11893,12.6,7.6,9.4,9.2,9.6
100000,8250,12.2,10.4,12.6,12.6,9.4
100000,10235,18.6,9.4,6.2,9.4,9.4
100000,6865,12.4,6.4,6.2,9.4,9.4
100000,2193,13.2,15.6,9.2,6.4,6.2
100000,9527,15.6,11.6,6.2,12.6,9.0
100000,4779,15.8,8.4,9.6,9.2,6.2
100000,1037,9.2,6.2,6.4,12.4,4.6
100000,10985,17.2,3.0,6.2,6.4,6.2
100000,10244,16.0,6.4,9.6,6.2,6.0
100000,9476,12.6,9.2,9.6,9.4,12.2
100000,9521,12.0,9.4,9.4,10.0,9.4
100000,5863,9.6,9.2,10.6,12.6,9.2
100000,3085,12.8,3.0,6.4,11.0,12.2
100000,4422,16.4,3.2,6.2,9.6,12.8
100000,1554,9.4,3.2,7.0,6.2,9.4
100000,8750,12.8,12.6,9.4,9.4,3.0
100000,7486,14.0,9.2,9.6,15.4,12.4
100000,7247,10.6,9.2,3.2,6.0,0.0
100000,6693,12.6,7.8,9.2,6.4,9.4
100000,2790,13.4,6.0,6.4,6.2,9.6
100000,3876,12.4,3.2,7.6,9.2,9.4
100000,2365,11.0,3.2,3.2,6.2,9.4
100000,10533,16.4,3.0,9.4,9.6,12.2
100000,1561,9.2,9.4,6.4,3.0,3.2
100000,12505,15.8,12.8,16.8,9.2,6.4
100000,6412,12.6,9.4,10.8,0.0,0.0
100000,9769,12.0,9.4,11.4,15.6,12.6
100000,6718,12.2,12.6,11.6,9.0,0.0
100000,4149,3.2,6.4,12.6,9.4,10.4
100000,10551,15.6,3.0,3.2,3.0,0.0
100000,11330,13.4,6.2,6.2,6.2,12.8
100000,10742,15.6,6.2,6.4,6.2,10.8
100000,9208,15.8,9.4,9.4,13.2,9.4
100000,12475,19.2,12.4,10.8,12.4,12.4
100000,5657,12.6,6.4,3.2,3.0,9.6
100000,1253,9.8,6.2,6.0,3.2,6.4
100000,6737,12.6,11.0,9.4,6.4,3.0
100000,4180,12.6,6.2,13.2,9.6,9.2
100000,1792,9.0,9.6,6.4,6.0,3.2
250000,28942,40.6,31.4,29.8,22.0,22.2
250000,20682,37.2,31.2,24.8,18.6,18.2
250000,10197,30.6,27.2,31.2,31.2,25.2
250000,24380,40.6,27.8,24.6,28.0,22.0
250000,6348,31.2,28.4,31.4,24.8,20.6
250000,26640,37.2,28.4,22.2,27.0,23.0
250000,22514,34.0,26.8,28.2,25.4,15.2
250000,23292,41.4,28.2,25.0,25.4,20.2
250000,14812,38.2,31.4,31.6,28.4,22.2
250000,24361,46.6,30.6,28.4,27.8,28.0
250000,21218,34.2,28.0,28.0,27.2,21.8
250000,14709,35.0,32.8,27.6,22.0,15.4
250000,25443,40.8,23.2,21.2,24.8,21.8
250000,4,28.0,27.8,27.8,22.4,22.4
250000,8770,34.2,28.4,30.6,22.8,22.2
250000,25607,34.8,22.6,24.2,24.8,19.0
250000,30701,40.4,32.6,27.4,25.0,17.2
